date,userid,startdate,plan,Status,DayOfWeek,Weekend,DaysSinceStart,AI_AutoComplete_Success,AI_Chat_Success,AI_Agent_Success,AI_AutoComplete_Error,AI_Chat_Error,AI_Agent_Error
3/3/2025,66755036,3/3/2025,Free,Active,Monday,False,0,7,1,0,8,0,0
3/3/2025,73967150,3/3/2025,Free,Active,Monday,False,0,11,1,0,0,0,0
3/3/2025,38267184,3/3/2025,Free,Active,Monday,False,0,10,7,1,1,0,0
3/3/2025,82506526,3/3/2025,Free,Active,Monday,False,0,56,7,4,0,0,0
3/5/2025,82506526,3/3/2025,Paid,Active,Wednesday,False,2,141,39,17,0,4,0
3/3/2025,75954738,3/3/2025,Free,Active,Monday,False,0,7,2,0,0,0,0
3/4/2025,75954738,3/3/2025,Free,Active,Tuesday,False,1,2,2,0,0,0,0
3/6/2025,75954738,3/3/2025,Free,Active,Thursday,False,3,7,3,1,7,0,0
3/3/2025,93665691,3/3/2025,Free,Active,Monday,False,0,3,1,0,0,0,0
4/6/2025,93665691,3/3/2025,Free,Active,Sunday,True,34,6,1,1,0,0,4
3/3/2025,12090212,3/3/2025,Free,Active,Monday,False,0,8,3,0,0,0,0
3/3/2025,63628551,3/3/2025,Free,Active,Monday,False,0,3,3,1,0,0,0
3/3/2025,43121540,3/3/2025,Free,Active,Monday,False,0,10,1,0,0,0,0
3/4/2025,43121540,3/3/2025,Free,Active,Tuesday,False,1,9,3,1,10,0,0
3/3/2025,64148890,3/3/2025,Free,Active,Monday,False,0,9,3,1,0,0,0
3/3/2025,42337259,3/3/2025,Free,Active,Monday,False,0,63,0,0,0,0,0
3/4/2025,42337259,3/3/2025,Free,Active,Tuesday,False,1,52,1,0,0,0,0
3/6/2025,42337259,3/3/2025,Free,Active,Thursday,False,3,30,0,0,0,0,0
3/7/2025,42337259,3/3/2025,Free,Active,Friday,False,4,69,0,1,3,0,0
3/3/2025,14739400,3/3/2025,Free,Active,Monday,False,0,42,0,4,9,0,0
3/4/2025,14739400,3/3/2025,Free,Active,Tuesday,False,1,30,1,5,0,3,0
3/3/2025,24749151,3/3/2025,Free,Active,Monday,False,0,4,2,0,0,0,0
3/10/2025,24749151,3/3/2025,Free,Active,Monday,False,7,4,2,1,0,0,0
3/3/2025,73105480,3/3/2025,Free,Active,Monday,False,0,4,2,1,0,0,2
3/3/2025,44671806,3/3/2025,Free,Active,Monday,False,0,2,3,1,0,0,0
3/3/2025,62924805,3/3/2025,Free,Active,Monday,False,0,64,2,5,1,0,0
3/3/2025,42320708,3/3/2025,Free,Active,Monday,False,0,8,3,0,0,0,0
3/6/2025,42320708,3/3/2025,Free,Active,Thursday,False,3,3,0,1,0,0,0
3/25/2025,42320708,3/3/2025,Free,Active,Tuesday,False,22,8,1,0,0,0,0
4/7/2025,42320708,3/3/2025,Free,Active,Monday,False,35,5,1,0,0,0,0
4/24/2025,42320708,3/3/2025,Free,Active,Thursday,False,52,7,1,0,0,0,0
3/3/2025,75985129,3/3/2025,Free,Active,Monday,False,0,38,4,2,0,0,0
3/4/2025,75985129,3/3/2025,Free,Active,Tuesday,False,1,73,4,0,0,0,0
3/3/2025,18288515,3/3/2025,Free,Active,Monday,False,0,10,3,0,0,0,0
3/3/2025,84757256,3/3/2025,Free,Active,Monday,False,0,71,7,4,0,0,0
3/3/2025,62296372,3/3/2025,Free,Active,Monday,False,0,87,1,1,0,0,0
3/3/2025,46345673,3/3/2025,Free,Active,Monday,False,0,3,1,1,0,5,0
3/3/2025,44753961,3/3/2025,Free,Active,Monday,False,0,34,9,0,0,0,0
3/3/2025,64158919,3/3/2025,Free,Active,Monday,False,0,4,1,1,0,0,0
4/3/2025,64158919,3/3/2025,Free,Active,Thursday,False,31,6,1,0,0,0,0
3/3/2025,80774706,3/3/2025,Free,Active,Monday,False,0,7,0,0,0,0,0
3/4/2025,80774706,3/3/2025,Free,Active,Tuesday,False,1,9,0,0,0,0,0
3/3/2025,11659537,3/3/2025,Free,Active,Monday,False,0,1,2,1,0,0,0
3/3/2025,21045787,3/3/2025,Free,Active,Monday,False,0,5,1,0,6,0,0
3/6/2025,21045787,3/3/2025,Free,Active,Thursday,False,3,3,0,1,0,0,0
3/3/2025,12644046,3/3/2025,Free,Active,Monday,False,0,37,9,5,0,0,1
4/5/2025,12644046,3/3/2025,Free,Active,Saturday,True,33,97,9,2,0,4,0
3/3/2025,75501559,3/3/2025,Free,Active,Monday,False,0,7,0,1,6,0,0
3/5/2025,75501559,3/3/2025,Free,Active,Wednesday,False,2,1,0,0,0,0,0
3/3/2025,52179476,3/3/2025,Free,Active,Monday,False,0,5,2,1,0,0,0
3/26/2025,52179476,3/3/2025,Free,Active,Wednesday,False,23,9,2,1,0,0,0
3/3/2025,84188767,3/3/2025,Free,Active,Monday,False,0,97,6,1,0,0,0
3/25/2025,84188767,3/3/2025,Free,Active,Tuesday,False,22,40,7,0,0,0,0
3/3/2025,12214979,3/3/2025,Free,Active,Monday,False,0,53,3,0,0,2,0
3/4/2025,12214979,3/3/2025,Free,Active,Tuesday,False,1,58,10,3,0,0,0
4/23/2025,12214979,3/3/2025,Free,Active,Wednesday,False,51,86,10,4,0,0,0
3/3/2025,94186843,3/3/2025,Free,Active,Monday,False,0,1,0,0,0,0,0
3/3/2025,51906302,3/3/2025,Free,Active,Monday,False,0,8,2,1,0,0,0
3/3/2025,31767260,3/3/2025,Free,Active,Monday,False,0,8,2,0,0,0,0
3/5/2025,31767260,3/3/2025,Free,Active,Wednesday,False,2,1,1,0,0,0,0
4/26/2025,31767260,3/3/2025,Free,Active,Saturday,True,54,10,3,1,0,0,0
3/3/2025,41442302,3/3/2025,Free,Active,Monday,False,0,75,9,0,0,0,0
3/7/2025,41442302,3/3/2025,Free,Active,Friday,False,4,66,7,5,0,0,0
3/18/2025,41442302,3/3/2025,Free,Active,Tuesday,False,15,68,5,0,0,0,0
3/3/2025,70642153,3/3/2025,Free,Active,Monday,False,0,37,7,1,0,0,0
4/10/2025,70642153,3/3/2025,Free,Active,Thursday,False,38,20,4,0,0,0,0
3/3/2025,37253227,3/3/2025,Free,Active,Monday,False,0,9,0,1,0,0,4
3/5/2025,37253227,3/3/2025,Free,Active,Wednesday,False,2,3,3,0,0,0,5
3/3/2025,40890345,3/3/2025,Free,Active,Monday,False,0,3,1,1,0,3,0
3/5/2025,40890345,3/3/2025,Free,Active,Wednesday,False,2,9,2,1,0,0,0
3/6/2025,40890345,3/3/2025,Free,Active,Thursday,False,3,9,3,1,0,0,0
4/14/2025,40890345,3/3/2025,Free,Active,Monday,False,42,5,3,1,0,0,0
3/3/2025,84162769,3/3/2025,Free,Active,Monday,False,0,46,8,1,0,1,0
3/4/2025,84162769,3/3/2025,Free,Active,Tuesday,False,1,22,10,0,0,0,0
3/3/2025,44736711,3/3/2025,Free,Active,Monday,False,0,28,9,0,0,0,4
3/4/2025,44736711,3/3/2025,Free,Active,Tuesday,False,1,18,4,1,0,0,0
3/3/2025,88781101,3/3/2025,Free,Active,Monday,False,0,8,0,0,3,0,0
3/3/2025,17666001,3/3/2025,Free,Active,Monday,False,0,31,4,0,0,0,0
3/4/2025,17666001,3/3/2025,Free,Active,Tuesday,False,1,91,6,4,0,0,0
3/3/2025,45215673,3/3/2025,Free,Active,Monday,False,0,9,1,0,0,0,0
3/4/2025,45215673,3/3/2025,Free,Active,Tuesday,False,1,7,3,1,0,0,2
3/3/2025,19609533,3/3/2025,Free,Active,Monday,False,0,1,1,1,0,0,0
3/6/2025,19609533,3/3/2025,Free,Active,Thursday,False,3,4,1,0,0,0,3
4/22/2025,19609533,3/3/2025,Free,Active,Tuesday,False,50,10,3,1,0,0,0
3/3/2025,37158173,3/3/2025,Free,Active,Monday,False,0,8,0,0,0,0,0
3/4/2025,37158173,3/3/2025,Free,Active,Tuesday,False,1,8,0,0,0,0,0
4/9/2025,37158173,3/3/2025,Free,Active,Wednesday,False,37,5,0,1,0,0,0
3/3/2025,44641813,3/3/2025,Free,Active,Monday,False,0,3,3,1,0,0,0
3/3/2025,75376411,3/3/2025,Free,Active,Monday,False,0,88,0,1,0,0,4
3/8/2025,75376411,3/3/2025,Free,Active,Saturday,True,5,40,0,1,0,0,0
3/15/2025,75376411,3/3/2025,Free,Active,Saturday,True,12,93,1,0,9,0,0
3/18/2025,75376411,3/3/2025,Free,Active,Tuesday,False,15,33,1,0,0,0,0
3/3/2025,56087711,3/3/2025,Free,Active,Monday,False,0,4,3,0,0,0,0
4/24/2025,56087711,3/3/2025,Free,Active,Thursday,False,52,1,2,0,2,0,0
4/28/2025,56087711,3/3/2025,Free,Active,Monday,False,56,5,1,1,8,0,0
